Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
"Analisis Human Error Yang Mempengaruhi Cacat Produk Dengan Menggunakan Pendekatan Human Reliability Assessment (HRA) (Studi Kasus: UD. Alfian Jaya Wedoro, Sidoarjo)",Ria nurmalita yuniar,"Fitri Agustina, ST.MT","Nachnul Ansori, ST.MT","Abstrak
	Objek penelitian ini adalah sentra alas kaki Wedoro di UD. Alfian Jaya Sidoarjo merupakan salah satu sentra produsen pembuat alas kaki. Proses kerja pada UD. Alfian jaya meliputi proses plong pembentukan pola sandal dengan mesin pemotong, proses pengesolan untuk pengeleman pada sol sandal, proses kap untuk penjahitan tali sandal, proses flogging pembuatan merek/logo sandal, proses sablon untuk memberi tulisan pada sandal, proses slep untuk menghaluskan pinggiran sandal dan terakhir pengepakan. Dari semua proses kerja tersebut, ada dua proses kerja yang berpotensi lebih besar menimbulkan kerusakan pada produk. Diantaranya, pada proses kerja pengesolan dan proses kap. Jenis cacat yang terjadi pada proses pengesolan yaitu pemolesan lem dan penempelan sol. Sedangkan pada proses kap (penjahitan tali sandal) jenis cacat yang terjadi yaitu pada penjahitan. Proses yang dipilih dalam penelitian ini, diketahui bahwa kerusakan produk dipengaruhi oleh faktor manusia sehingga cukup penting dilakukan pengukuran terhadap keandalannya..
 Penelitian ini membahas tentang human error yang berpengaruh pada cacat produk dengan pendekatan Human Reliability Assessment (HRA) dan Standarized Plant Risk-HRA (SPAR-H). Sebelumnya, akan dihitung beban kerja fisik menggunakan konsumsi energi, QEC (Quick Exposure Checklist) dan beban kerja mental menggunakan NASA-TLX. Dari hasil kesimpulan didapatkan bahwa beban kerja fisik, mental dan posisi kerjanya kurang baik. Dari hasil HEART didapatkan nilai HEP tertinggi pada bagian pengesolan task 3.1 sebesar 0,47 dan kap task 2 sebesar 0.34. Sedangkan hasil SPAR-H didapatkan nilai HEP tertinggi pada bagian pengesolan task 3.1 sebesar 0,44 dan kap task 2.4 sebesar 0.29.
Kata kunci :
HEART, SPAR-H, QEC, Konsumsi energi"
Optimalisasi Produksi Lantai Kayu Dengan Menggunakan Metode Linier Programming (Studi Kasus : PT XXX),Awinda Fitria Ningtyas,"Samsul Amar., ST., MSc","Heri Awalul Ilhamsah., ST., MT","PT. XXX disini merupakan salah satu perusahaan make to stock yang bergerak dibidang industri lantai kayu. PT. XXX memproduksi beragam variasi produk lantai kayu diantaranya adalah produk lantai kayu jenis red oak, walnut natural, cherry natural dan cherry cappucino. Penelitian kali ini mengenai perencanaan produksi pada PT.XXX yang akan melangsungkan proses produksi berdasarkan tujuan pada penelitian yaitu yang bisa memaksimalkan biaya produksi pada perusahaan dengan memperhatikan kendala-kendala yang ada seperti kendala jam tenaga mesin reguler, kendala jam tenaga kerja lembur dan jumlah permintaan. Pada persoalan tersebut dalam memaksimalkan profit pada perusahaan PT.XXX menggunakan metode linier programming sebagai metode pencarian solusi namun, selain menggunakan metode linier programming dibantu dengan alat bantu software excel solver untuk menentukan analisis sensitivitas. Dilakukannya analisis sensitivitas yaitu untuk mengetahui perubahan-perubahan parameter kendala produksi terhadap perubahan solusi optimal produksi. Didapatkan total biaya produksi sebesar Rp. 804783185 pada tahun 2014."
Perencanaan Kapasitas Produksi Sandal Dengan Metode Manufacturing Resource Planning (MRP II),Putri Anjasari,Imron Kuswandi ST.MT,Sugeng Purwoko ST.MT,"ABSTRAK 
UKM  Darmo  adalah  UKM  yang  bergerak  dalam  bidang  manufaktur  yang  memproduksi  sandal  santai, 
UKM  Darmo  ini  memproduksi  berbagai  tipe  sandal  santai  dengan  macam - macam accessories dan  berbagai 
jenis ukuran baik untuk Pria maupun orang Wanita. UKM Darmo menerima pesanan konsumen yang beragam 
variasinya,  sehingga  UKM  Darmo  sering  mengalami  beberapa  masalah  yang  terjadi,  seperti  kekurangan stock 
produk  ataupun  kelebihan stock produk,  hal  ini  dapat  mengakibatkan  terjadinya  penumpukan stock digudang, 
dan  juga  UKM Darmo  sering  menghadapi  kesulitan  dalam  memenuhi  perubahan  permintaan  yang  terjadi 
ditengah  periode,  dimana  kasus  yang  sering  terjadi  adalah  penambahan  jumlah  order  yang  terjadi  mendadak, 
yang tidak bisa diatasi dengan stock yang ada.  
Metode yang digunakan dalam penelitian ini adalah Manufacturing Resource Planning (MRP II), Dengan 
menggunakan Manufacturing Resource Planning (MRP II) maka permasalahan yang dihadapi oleh perusahaan 
dapat  diselesaikan, Manufacturing  Resource  Planning (MRP  II)  sebuah  metode  perencanaan  yang  efektif  dari 
semua  sumber  daya  suatu  perusahaan  manufaktur.  Mencakup  perencanaan  operasional  dan  keuangan  dan 
mempunyai  kemampuan  simulasi  untuk  menjawab  pertanyaan  ""bagaimana  jika"".  MRP  II (Manufacturing 
Resources  Planning) terdiri  dari berbagai  fungsi  yang  saling  berhubungan:  perencanaan  bisnis,  perencanaan 
operasi  dan  penjualan,  perencanaan  produksi,  penentuan  jadwal  pokok,  kebutuhan  perencanaan  material, 
kebutuhan  perencanaan  kapasitas,  dan  pelaksanaan  sistem  pendukung  untuk  material  dan  kapasitas. MRP  II 
(Manufacturing  Resources  Planning)  merupakan  sistem  perencanaan  dan  pengendalian  yang  paling  banyak 
diterapkan pada proses produksi. MRP II (Manufacturing Resources Planning) yang berguna untuk mengontrol 
kelancaran  produksi  dan  dalam prosesnya  memenuhi  permintaan  konsumen  dengan  lebih  baik. Hasil  yang 
diperoleh dari metode ini  
Kata kunci : Manufacturing Resource Planning, Forecasting, material requirements planning."
Penjadwalan Produksi Menggunakan Metode Branch And bound (Studi Kasus :PTABC Tbk),Febyan Karisantiningrum Subagiyo,"Heri Awalul Ilhamsah., ST., MT","Imron Kuswandi., ST., MT","Penelitian ini membahas alternatif penjadwalan produksi yang optimal dengan menggunakan metode
branch and bound yang bertujuan untuk menentukan penjadwalan di ABC dalam meminimasi makespan.
Selama ini perusahaan tersebut menjalankan produksinya menggunakan sistem penjadwalan FCFS 
(
first come
first served
)
 dengan sistem produksi flowshop. Penelitian ini diawali menghitung waktu standart dari tiap Job
menggunakan metode pengukuran waktu dengan work sampling, kemudian dilakukan penjadwalan dengan
branch and bound.
Hasil perhitungan dengan menggunakan branch and bound penjadwalan optimal yang diusulkan adalah
Job 2 - Job 5 - Job 7 -Job 6 - Job 1 - Job 3 - Job 4 - Job 8. Penjadwalan usulan tersebut diperoleh makespan
sebesar 1562,23 menit atau 93734,02 detik. Sedangkan penjadwalan FCFS yang selama ini dilakukan ABC
memiliki makespan sebesar 1715,18 menit atau 102910,53. Selisih yang dihasilkan adalah 152,94 menit atau
9176,515 detik. Hal inilah yang dapat membuktikan bahwa penjadwalan dengan metode branch and bound
dapat meminimimasi waktu proses produksi pada ABC."
"Analisis Workload Operator Produksi Rokok Untuk Perbaikan Sistem Kerja (Studi Kasus : PT. Seribu Satu Alami, Desa Kertagena Tengah, Kecamatan Kadur, Kabupaten Pamekasan)",Khoirul Musfik,"Fitri Agustina, ST.,MT.","Nachnul Ansori, ST.,MT.","PT. Seribu Satu Alami, Pamekasan merupakan industri manufaktur yang bergerak di bidang pembuatan rokok. Dalam operasinya pabrik ini menggunakan metode manual dalam keseluruhan proses produksinya. Proses produksi pada pabrik ini dimulai dari proses pelintingan, quality control, sampai proses pengepakan (packaging). Dari pengamatan awal yang telah dilakukan banyak para pekerja yang mengeluhkan kelelahan. Kondisi tersebut disebabkan karena pekerjaan yang berulang-ulang, dilakukan dengan posisi kerja duduk selama jam kerja berlangsung serta kurangnya waktu istirahat. Selain beban kerja fisik, operator juga mengalami beban kerja mental. Hal ini dikarenakan oleh target produksi perhari yang harus dipenuhi oleh operator. Tujuan dari penelitian ini adalah untuk mengukur dan menganalisis beban kerja operator baik fisik maupun mental serta memberikan usulan perbaikan sistem kerja bagi perusahaan. Metode yang digunakan dalam penelitian ini adalah Fisiologi Kerja dan NASA-Task Load Index (TLX). Fisiologi kerja merupakan suatu metode yang digunakan untuk mengukur beban kerja fisik. Sedangkan NASA-Task Load Index (TLX) merupakan suatu metode yang digunakan untuk mengukur beban kerja mental. Berdasarkan hasil pengolahan data dan analisis data diperoleh hasil bahwa dari keseluruhan operator produksi rokok pada bagian pelintingan mengalami beban kerja yang tinggi terutama pada beban mentalnya. Maka dari itu dalam penelitian ini diperlukan usulan perbaikan untuk memperbaiki sistem kerja sebelumnya. Dimana usulan perbaikan tersebut berupa perbaikan target produksi dan perbaikan kondisi lingkungan kerja.
Kata Kunci : Beban Kerja, Fisiologi Kerja, NASA-Task Load Index (TLX), Sistem Kerja."
Analisis dan Usulan Perbaikan Pemborosan (Waste) pada Produksi Pintu Besi dengan Pendekatan Value Stream Mapping dan Ergonomi,M. Taufiqur Rohman,"Nachnul Ansori, S.T., M.T.","M. Imron Mustajib, S.T., M.T.","PT. Sekawan Karyatama Mandiri merupakan perusahaan yang memproduksi pintu besi beserta komponennya yang terletak di Sidoarjo, Jawa Timur. Industri  ini bertipe make to order yang berarti memproduksi produk sesuai pesanan konsumen. Setelah dilakukan pengamatan terhadap divisi fabrikasi, teridentifikasi banyak terjadi aktivitas pemborosan (waste). Pada penelitian ini dibahas tentang analisis pemborosan (waste) serta memberi usulan perbaikan pada proses produksi pintu besi model SG 680 H dengan pendekatan value stream mapping dan ergonomi. Berdasarkan analisis yang dilakukan terdapat enam jenis waste yang terjadi pada divisi fabrikasi yaitu Waiting time, Transport, Inventory, Innappropiate Process, Defect, dan Motion. Sedangkan usulan perbaikan berupa maintenance system, penataan layout lantai produksi, penerapan 5S, perbaikan postur kerja serta penerapan sistem pekerja rabbit chasing. Selanjutnya berdasarkan current value stream mapping pintu SG 680 H diketahui value added activity sebesar 6656 detik dan non-value added activity sebesar 2171 detik, setelah dilakukan usulan perbaikan diperoleh value added activity 6656 detik dan non-value added activity 1999 detik. Sedangkan penilaian waste motion tentang postur kerja dari pekerja pemotongan panel menggunakan RULA diperoleh grand total score 7 yang berarti diperlukan tindakan perubahan sekarang juga, setelah dilakukan usulan perbaikan postur kerja diperoleh grand total score 5 yang berarti masih diperlukan tindakan perubahan dalam waktu ke depan.

Kata kunci: Waste, Value Stream Mapping, Ergonomi, Value Added Activity, RULA"
RANCANG BANGUN SISTEM INFORMASI PENGARSIPAN SURAT DAN PEMBUATAN SURAT BERBASIS WEB (DI DINAS KOMINFO KAB.SUMENEP),Lusiana Ayu,"Aeri Rachmad, S.T.,M.T.",,"Pengelolaan surat dan pengarsipan surat di Dinas Kominfo merupakan suatu komponen penting untuk kelangsungan administrasi manajemen surat masuk,  keluar dan disposisi. Sistem Informasi Manajemen Surat merupakan suatu sistem berbasis komputer yang menyediakan informasi bagi admin, admin bidang komunikasi, informasi, telekomunikasi dan aplikasi telematika dengan kebutuhan serupa. Output informasi yang dihasilkan digunakan oleh Kepala dinas maupun admin untuk mengelola keluar dan masuknya surat kedinasan yang baru terhadap sistem pengarsipan surat ini. Sistem informasi manajemen surat ini berbasis web yaitu sebuah aplikasi yang memberikan informasi tentang manajemen surat secara komputerisasi. Sistem ini dapat mempermudah admin dan kepala Dinas Kominfo untuk mengetahui tentang surat baru yang masuk dan keluar dari dan ke dinas kominfo. Disisi lain suatu sistem pembuatan surat yang dapat digunakan dengan mudah oleh admin dan kepala dinas tanpa harus mengubah nomer, tanggal, tahun, perihal secara manual karena sudah terupdate secara otomatis. Dari hasil survey yang telah dilakukan pada 30 pegawai, tingkat kepuasan dan kelayakan sistem menunjukkan 56,67% menyatakan sistem ini layak dan puas, 36.67% menyatakan layak dan sangat puas, 6,66% menyatakan kurang layak dan tidak puas. Sehingga sistem ini dapat dijadikan bahan pertimbangan dalam melakukan pengarsipan dan pembuatan surat.

Kata kunci : Pengarsipan surat, sistem informasi, manajemen disposisi"
"ANALISIS PRODUKTIVITAS DENGAN METODE JARINGAN SYARAF TIRUAN (JST) BERDASARKAN PENDEKATAN ERGONOMI
(Studi Kasus: UD. NATURAL, Petemon, Surabaya)",NASIKHUDDIN,"NACHNUL ANSORI, ST., MT.","M. IMRON MUSTAJIB, ST., MT.","Pertumbuhan sektor kontruksi mencapai 10,45% pada tahun 2012, adalah potensi pasar yang besar sebagai latar belakang peningkatan produktivitas UD. NATURAL, Petemon, Surabaya. Perusahaan tersebut adalah perusahaan manufaktur pembuatan kaca grafir. terdapat beberapa tahapan proses dalam pembuatan kaca grafir yang dikelompokkan menjadi 4 departemen, yaitu: cutting, sandblasting, assembly dan finishing. Proses produksi tersebut dikerjakan secara manual. Sehingga banyak faktor yang mempengaruhi produktivitas, terutama faktor ergonomi mikro dan makro. Tujuan dari penelitian ini adalah analisis produktivitas berdasarkan pendekatan ergonomi mikro maupun makro dengan metode jaringan syaraf tiruan (JST) MATLAB. Ergonomi mikro yang di analisis adalah beban kerja menggunakan %CVL, postur kerja menggunakan RULA dan lingkungan kerja fisik (kebisingan, pencahayaan, dan suhu) sedangkan ergonomi makro dianalisis mengggunakan metode Macroergonomic Analysis and Design (MEAD). Perancangan arsitektur model jaringan syaraf tiruan (JST) diketahui rancangan jaringan syaraf tiruan terbaik untuk mensimulasi model [10 10 3] adalah dengan metode pembelajaran backpropagation sigmoid bipolar (tansig) dan fungsi training adalah trainlm dengan diperoleh MSE sebesar 0,000027356 pada epoh ke-0 dan R bernilai 0,99306 ? 1,0. Pada tahap kedua dengan model [3 20 1], algoritma training yang terbaik adalah sigmoid bipolar (tansig), fungsi training adalah trainlm, dimana nilai MSE yang ditunjukkan adalah 0,027539 pada epoh ke-8 dengan R bernilai 0,796869. Berdasarkan hasil prediksi diketahui bahwa produktivitas optimum perusahaan tersebut dapat dicapai dengan kombinasi faktor ergonomi: kebisingan 85 dB, pencahayaan antara 350-700 lux, suhu 30oC, beban kerja 25%, postur kerja kategori 2 dengan dengan output penjualan sebesar Rp 3.634.275 â Rp 5.329.800 per bulan. Sedangkan alternatif perbaikan yang diusulkan berdasarkan analisis ergonomi makro adalah perbaikan job desription, pelatihan untuk masing-masing pekerja dalam meningkatkan kemampuan/skill dan perbaikan fasilitas (pembuatan display informasi, pemugaran display produk, dan warehouse) maupun perawatan mesin/peralatan. Selain itu postur kerja untuk setiap karyawan terutama pada departemen finishing guna meningkatkan produktivitas perusahaan.

Kata kunci: Produktivitas, Ergonomi, MEAD, Jaringan Syaraf Tiruan (JST)"
"PERANCANGAN SISTEM INFORMASI NILAI AKADEMIK BERBASIS SMS GATEWAY
(Studi Kasus : Prodi Teknik Multimedia danJaringan Fakultas Teknik
Universitas Trunojoyo Madura)
",imawan,"Aery Rachmad, S.T.,M.T.",,"Untuk mendapatkan informasi nilai matakuliah, mahasiswa masih mengalami kesulitan untuk mendapatkan informasi nilai matakuliah[1], diperlukan sebuah sistem yang memudahkan mahasiswa untuk mendapatkan informasi nilai matakuliah dengan mudah. Teknologi sms gateway bisa menjadi sebuah solusi dalam mendapatkan informasi nilai matakuliah dengan mudah, sms gateway adalah suatu platform yang menyediakan mekanisme untuk menghantar dan menerima sms dari peralatan mobile/modem[4]. mahasiswa cukup sms dengan format tertentu ke no yang sudah ditetapkan untuk mendapatkan informasi nilai matakuliah yang diinginkan. Dengan adanya teknologi diatas, diharapkan bisa memudahkan dalam proses  mendapatkan informasi nilai matakuliah yang lebih cepat dan efisien, cukup sms dengan format tertentu ke no yang sudah ditetapkan, tanpa harus menunggu lama maka anda akan mendapatkan informasi tersebut."
RANCANG BANGUN AUGMENTED REALITY MENGGUNAKAN FRAME MARKERS PADA PERMAINAN SUSUN KATA BERBASIS ANDROID,Andhika Septiono,"Arik Kurniawati, S.Kom., M.T.","Cucun Very Angkoso, S.T., M.T.","Di Indonesia banyak sekali mengenal bermacam-macam pemainan kata, salah satu permainan kata yang sering dimainkan melalui jejaring sosial saat ini adalah  jenis alfagram. Alfagram adalah permainan menyusun ulang huruf dari sebuah kata agar sesuai alfabetis, misal alfagram âcintaâ adalah âtincaâ. Sementara ini permainan kata alfagram hanya dimainkan secara tradisional seperti menyusun kata dengan mengetik, permainan ini akan dikembangkan dengan teknologi Augmented Reality. Augmented Reality merupakan konsep penggabungan antara obyek virtual 2D atau 3D pada dunia maya dengan dunia nyata, Augmented Reality digunakan untuk menampilkan obyek 3D perhuruf. 
Pada Tugas Akhir ini dibangun rancangan tentang teknologi Augmented Reality dengan menggunakan Frame Markers, Frame markers digunakan untuk penanda suatu obyek huruf yang berbeda-beda, ciri tersebut digunakan untuk permainan susun kata. Setiap obyek yang telah terdeteksi oleh kamera mendapatkan sebuah id, dan disimpan ke sistem digunakan untuk proses inti permainan kata. Teknologi Augmented Reality ini telah diimplementasikan kedalam permainan susun kata dan dapat disimpulkan dari hasil uji kuantitatif yang didapatkan dari pengguna aplikasi bahwa 50% puas, 41% lumayan puas, dan 9% tidak puas."
